epoch,loss,val_loss
0,-172.97610473632812,-677.0325317382812
1,-701.9427490234375,-762.79052734375
2,-770.19189453125,-858.46337890625
3,-871.1452026367188,-902.715087890625
4,-891.4454345703125,-938.3513793945312
5,-963.8900756835938,-966.6626586914062
6,-1001.4086303710938,-815.28076171875
7,-1038.1986083984375,-1076.12646484375
8,-1059.721923828125,-1062.26220703125
9,-1068.3336181640625,-1088.9443359375
10,-1094.6842041015625,-1071.7021484375
11,-1111.1744384765625,-1091.24169921875
12,-1121.8837890625,-1106.4525146484375
13,-1132.7413330078125,-1137.455322265625
14,-1141.744140625,-1124.7540283203125
15,-1144.0697021484375,-1078.118408203125
16,-1141.3006591796875,-923.380615234375
17,-1144.81591796875,-1165.0087890625
18,-1145.47900390625,-1138.2177734375
19,-1139.9730224609375,-1125.567626953125
20,-1151.431884765625,-1193.3895263671875
21,-1154.1644287109375,-1159.4132080078125
22,-1162.3125,-1107.31494140625
23,-1152.585205078125,-1170.71337890625
24,-1144.3885498046875,-1145.471435546875
25,-1148.928466796875,-1161.907470703125
26,-1154.102783203125,-1187.7899169921875
27,-1165.18701171875,-1207.3935546875
28,-1176.99267578125,-1177.3677978515625
29,-1170.04443359375,-1114.9315185546875
30,-1175.687744140625,-1188.697265625
31,-1173.9490966796875,-1175.8895263671875
32,-1151.5509033203125,-1156.3646240234375
33,-1161.4117431640625,-1212.9110107421875
34,-1169.155029296875,-1154.964111328125
35,-1167.7132568359375,-1143.5172119140625
36,-1168.1368408203125,-1055.5294189453125
37,-1179.1014404296875,-1172.2291259765625
38,-1170.9390869140625,-1201.52978515625
39,-1167.5877685546875,-1093.05078125
40,-1178.3101806640625,-1097.4017333984375
41,-1183.8858642578125,-1216.48046875
42,-1194.6494140625,-1138.869140625
43,-1185.8394775390625,-1142.5189208984375
44,-1185.0181884765625,-1246.0382080078125
45,-1186.7333984375,-1208.0794677734375
46,-1193.2147216796875,-1172.130859375
47,-1199.400146484375,-1154.3489990234375
48,-1217.942626953125,-1263.8876953125
49,-1213.6153564453125,-1204.6666259765625
50,-1194.8399658203125,-1037.456787109375
51,-1199.6103515625,-1226.66552734375
52,-1200.252685546875,-1206.147216796875
53,-1205.961181640625,-1201.1614990234375
54,-1205.33837890625,-1247.6287841796875
55,-1194.3580322265625,-1214.5732421875
56,-1187.3238525390625,-1191.8331298828125
57,-1182.3350830078125,-1199.37939453125
58,-1179.4293212890625,-1130.647216796875
59,-1176.4305419921875,-1103.2012939453125
60,-1167.0794677734375,-1177.453125
61,-1188.1575927734375,-1221.3480224609375
62,-1186.117919921875,-1169.63330078125
63,-1188.47607421875,-1043.0015869140625
64,-1188.6268310546875,-1202.38916015625
65,-1182.2823486328125,-1202.9510498046875
66,-1207.7669677734375,-1251.3670654296875
67,-1201.6229248046875,-1129.1463623046875
68,-1190.1337890625,-1223.6002197265625
69,-1208.0338134765625,-1129.806884765625
71,-1203.0364990234375,-1026.7332763671875
72,-1204.0936279296875,-1244.964599609375
73,-1202.418701171875,-1212.1453857421875
74,-1199.35205078125,-1158.60546875
75,-1203.200927734375,-1186.7904052734375
76,-1204.4085693359375,-1250.0418701171875
77,-1232.1192626953125,-1232.877197265625
78,-1200.768798828125,-1208.1019287109375
79,-1186.2353515625,-1199.7947998046875
80,-1189.23486328125,-1148.2191162109375
81,-1187.809814453125,-1232.6776123046875
82,-1182.7752685546875,-1177.154296875
83,-1200.5191650390625,-1201.387451171875
84,-1213.744873046875,-1269.2462158203125
85,-1205.811767578125,-1208.226318359375
86,-1207.0384521484375,-1186.8758544921875
87,-1203.135498046875,-1270.442138671875
88,-1196.138427734375,-1076.0751953125
89,-1199.6231689453125,-1136.329345703125
90,-1198.68701171875,-1234.2091064453125
91,-1207.944091796875,-1208.0015869140625
92,-1219.315673828125,-1229.92138671875
93,-1218.5626220703125,-1168.91650390625
94,-1223.0465087890625,-1232.2996826171875
95,-1227.37646484375,-1204.7664794921875
96,-1223.4998779296875,-1211.7061767578125
97,-1218.5838623046875,-1196.91650390625
98,-1216.56982421875,-1165.6597900390625
99,-1215.2554931640625,-1146.3018798828125
100,-1216.944091796875,-1247.4981689453125
101,-1218.44580078125,-1279.347412109375
102,-1213.3411865234375,-1212.1976318359375
103,-1208.7156982421875,-1252.638427734375
104,-1213.5794677734375,-1261.4989013671875
105,-1202.45703125,-1197.9027099609375
106,-1209.0811767578125,-1259.397216796875
107,-1201.716064453125,-1197.7685546875
108,-1202.053955078125,-1204.3857421875
109,-1215.5135498046875,-1254.3896484375
110,-1220.8770751953125,-1236.450927734375
111,-1221.5726318359375,-1268.8206787109375
112,-1215.031982421875,-1217.205810546875
113,-1218.7054443359375,-1061.9521484375
114,-1214.6588134765625,-1198.0303955078125
115,-1222.25439453125,-1256.117919921875
116,-1220.458251953125,-1137.3536376953125
